,Participant ID,Referent,Speech,Feature,Adjectives,Adjectives_Spacy
440,27C-R178,17,CHI:        so that's all I know.,I,,
441,27C-R235,Police Officer,,,,
442,27C-R236,1,CHI:        oh this is the police.,L,,
443,27C-R238,2,"CHI:        they have guns but, they only use them for shooting.",P+F,,
444,27C-R240,3,CHI:        um real bad guys.,F,,['bad']
445,27C-R242,4,CHI:        and if someone does a bad thing to mother earth they lock him in jail.,F,,['bad']
446,27C-R249,7,CHI:        and um they have like these trucks and that's what they have on (th)em.,F,,
447,27C-R250,8,CHI:        except they have one on each side and they're all black.,F+P,black,['black']
448,27C-R252,9,CHI:        except they don't have those on (th)em.,F,,
449,27C-R255,10,CHI:        that's all I know.,I,,
450,31C-R2,Teacher,,,,
451,31C-R4,1,CHI:        teacher.,L,,
452,31C-R6,2,CHI:        she teaches.,P,,
453,31C-R11,4,CHI:        I don't actually know much about it either.,I,,['much']
454,31C-R18,7,CHI:        well I well I'm not gonna see my old teachers until I until the Mini Mash.,I+F+L,,['old']
455,31C-R20,8,"CHI:        I won't see my my um old teachers until the Mini Mash, in the fall.",L,old,['old']
456,31C-R23,9,"CHI:        spring, spring is gonna take a long time before it's done.",F,,['long']
457,31C-R25,10,CHI:        but I'm glad (be)cause I'm I was getting a on my on my last day of school I was getting a little bored of school.,I+F,,"['glad', 'last', 'little', 'bored']"
458,31C-R27,11,CHI:        but I am going to a new school.,I+F,,['new']
459,31C-R29,12,CHI:        xxx [= name of school].,I+F,,
460,31C-R31,13,CHI:        uh my sister is always pulling my chair out.,I,,
461,31C-R33,14,CHI:        when I'm eating breakfast.,I,,
462,31C-R87,Witch,,,,
463,31C-R89,1,CHI:        witch.,L,,
464,31C-R91,2,CHI:        I don't know.,I,,
465,31C-R92,3,CHI:        it scares it's scary.,P,scary,['scary']
466,31C-R95,4,"CHI:        um, it shows up on Halloween.",F,,
467,31C-R118,Football Player,,,,
468,31C-R121,2,CHI:        football player.,L,,
469,31C-R123,3,"CHI:        um, I don't know.",I,,
470,31C-R125,5,CHI:        one time well today my while we were eating breakfast my sister fell out of her chair.,I,,
471,31C-R127,6,CHI:        and she fell head first.,I,,
472,31C-R166,Clown,,,,
473,31C-R168,1,CHI:        clown.,L,,
474,31C-R170,2,CHI:        it's funny.,P,funny,['funny']
475,31C-R173,3,CHI:        it wears big shoes.,P,,['big']
476,31C-R193,Pilot,,,,
477,31C-R195,1,CHI:        pilot.,L,,
478,31C-R199,3,"CHI:        and um, uh I don't know what anything else.",I,,
479,31C-R203,5,"CHI:        um, uh he's a good flier.",P,good,['good']
480,37C-R51,Police Officer,,,,
481,37C-R54,2,CHI:        person on a boat.,T,,
482,37C-R64,7,"CHI:        they can, put people in jail.",F,,
483,37C-R66,8,"CHI:        and they can, call the phone if there's trouble.",P+F,,
484,37C-R68,9,CHI:        like if someone stealed a bank.,F,,
485,37C-R69,10,CHI:        the money at the bank.,F,,
486,37C-R71,11,CHI:        or stealed the stuff at the store.,F,,
487,37C-R72,12,"CHI:        then, or at restaurants.",F,,
488,37C-R74,13,CHI:        they can do that.,F,,
489,37C-R75,14,CHI:        then the police can come.,F+L,,
490,37C-R77,15,CHI:        that's all that I know.,I,,
491,37C-R81,17,CHI:        let me think what else.,I,,
492,37C-R83,19,CHI:        if they steal the stuff at your house.,F,,
493,37C-R85,20,CHI:        and then the police men will come and take it to jail.,F+L,,
494,37C-R87,22,CHI:        you know what my dad has a job of?,I+T,,
495,37C-R88,23,CHI:        policeman.,I+L,,
496,37C-R90,24,CHI:        he he works at night.,I+F,,
497,37C-R91,25,CHI:        he has two more nights that he needs to work.,I+F,,['more']
498,37C-R93,26,CHI:        then he well then uh a new +...,I,,['new']
499,37C-R105,34,CHI:        oh I know.,I,,
500,37C-R106,35,CHI:        I think I know about if there's trouble at the beach then the police man will come to the beach.,I+F+L,,
501,37C-R109,37,CHI:        and then drive away to jail.,F,,
502,37C-R180,Weightlifter,,,,
503,37C-R181,1,CHI:        muscle man.,L,,
504,37C-R185,3,CHI:        he can lift up heavy stuff.,F,,['heavy']
505,37C-R187,4,CHI:        like this table.,F,,
506,37C-R189,5,"CHI:        he can, lift up, um, something in here.",F,,
507,37C-R190,6,CHI:        a couch.,F,,
508,37C-R192,7,CHI:        he can lift up a big box.,F,,['big']
509,37C-R194,8,"CHI:        and, big chairs.",F,,['big']
510,37C-R196,9,CHI:        that's all that I know.,I,,
511,37C-R218,23,CHI:        he can lift up a house I think.,I+F,,
512,37C-R223,Farmer,,,,
513,37C-R224,1,CHI:        someone's carrying vegetables.,P,,
514,37C-R225,2,CHI:        I think for for her animals.,I+F,,
515,37C-R228,3,CHI:        a farmer.,L,,
516,37C-R231,4,"CHI:        she can, buy stuff at the store.",F,,
517,37C-R233,5,"CHI:        you know, they farmers own cornfields.",F+L,,
518,37C-R248,Weightlifter,,,,
519,37C-R249,1,"CHI:        he can lift a, um, big big uh doors.",F,,"['big', 'big']"
520,37C-R252,Farmer,,,,
521,37C-R253,1,CHI:        but farmers do something else.,F+L,,
522,37C-R255,2,CHI:        they live in barns.,P,,
523,37C-R256,3,"CHI:        don't they have a rooster on top of their, place?",F,,
524,37C-R263,5,"CHI:        okay she can, put she can go to bed.",F,,
525,37C-R264,6,CHI:        she can smell.,F,,
526,37C-R265,7,CHI:        she can eat.,F,,
527,37C-R266,8,CHI:        she can see.,P,,
528,37C-R267,9,"CHI:        she can do, everything.",F,,
529,37C-R563,Surfer,,,,
530,37C-R565,1,"CHI:        I do, um, I don't know.",I,,
531,37C-R570,4,"CHI:        you can like, like you can get wet.",P,wet,['wet']
532,37C-R572,5,CHI:        and you need your bathing suits.,P,,
533,37C-R574,6,CHI:        that's all that I know.,I,,
534,37C-R578,7,CHI:        he has five fingers.,P,,
535,37C-R579,8,CHI:        and he's in the water.,P,,
536,37C-R585,King,,,,
537,37C-R586,1,CHI:        now a prince.,T,,
538,37C-R588,2,CHI:        um kid princes are called princes.,T,,
539,37C-R590,3,CHI:        and dad princes is called kings.,T+L,,
540,37C-R592,4,CHI:        so is this a king?,L,,
541,37C-R594,5,CHI:        might be a king.,L,,
542,37C-R596,6,CHI:        so he can eat smell talk.,F,,
543,37C-R597,7,CHI:        even go to bed.,F,,
544,37C-R599,8,CHI:        that's all that I know.,I,,
545,37C-R601,9,CHI:        he can sit ⌊down⌋.,P,,
546,37C-R603,10,"CHI:        he can, like sit down and eat.",P+F,,
547,37C-R605,11,CHI:        let me think about something else.,I,,
548,37C-R606,12,CHI:        he can walk.,F,,
549,44C-R2,Clown,,,,
550,44C-R4,1,CHI:        a clown.,L,,
551,44C-R6,2,CHI:        clowns are silly.,L+P,silly,['silly']
552,44C-R28,Football Player,,,,
553,44C-R30,1,CHI:        somebody.,L,,
554,44C-R33,2,CHI:        it xxx ball.,P,,
555,44C-R36,3,CHI:        it wa- that ones wearin a hat.,P,,
556,44C-R58,Witch,,,,
557,44C-R60,1,CHI:        a witch.,L,,
558,44C-R65,3,"CHI:        it, the witch is wearing a hat.",L+P,,
559,44C-R68,4,CHI:        I don't know what else.,I,,
560,44C-R70,Pilot,,,,
561,44C-R72,1,"CHI:        somebody body, sitting in a chair.",L+P,,
562,44C-R74,2,CHI:        what more can you tell me?,,,['more']
563,44C-R75,3,CHI:        it was wearing a hat.,P,,
564,44C-R155,Teacher,,,,
565,44C-R157,1,CHI:        a teacher.,L,,
566,44C-R159,2,CHI:        the teacher got a book in its hand.,L+P,,
567,44C-R161,3,CHI:        the teacher's wearing glasses.,L+P,,
568,48C-R2,Race Car Driver,,,,
569,48C-R8,3,CHI:        and the man is getting out.,P+L,,
570,48C-R12,Ballerina,,,,
571,48C-R14,1,CHI:        a ballerina.,L,,
572,48C-R16,2,CHI:        she's wearing dance [?] shoes.,P,,
573,48C-R20,3,CHI:        they dance.,F,,
574,48C-R21,4,"CHI:        I used to be, in a dance class.",I+F,,
575,48C-R133,Old Woman,,,,
576,48C-R135,1,CHI:        a old lady.,L,old,['old']
577,48C-R141,3,"CHI:        it gots, silver hair.",P,silver,['silver']
578,48C-R142,4,CHI:        and it gots green necklaces.,P,green,['green']
579,48C-R143,5,"CHI:        and one, black one.",P,black,['black']
580,48C-R145,6,CHI:        and it's wearing blue pants.,P,blue,['blue']
581,48C-R146,7,CHI:        and blue shoes.,P,blue,['blue']
582,48C-R147,8,CHI:        and a pink coat.,P,pink,['pink']
583,48C-R148,9,CHI:        and its shirt is green with blue xxx.,P,"green, blue",['green']
584,48C-R150,Firefighter,,,,
585,48C-R152,1,CHI:        a fireman.,L,,
586,48C-R154,2,CHI:        it gots a hat.,P,,
587,48C-R159,4,CHI:        puts out the fire.,P,,
588,48C-R170,Judge,,,,
589,48C-R172,1,CHI:        a author.,L,,
590,59C-R40,Pirate,,,,
591,59C-R42,1,CHI:        pirate &=whispers:to_Zorg.,L,,
592,59C-R43,2,CHI:        pirate [= as Zorg].,L,,
593,59C-R46,4,CHI:        these are pirates [= as Zorg].,L,,
594,59C-R49,7,CHI:        and they're mean [= as Zorg] .,I,,['mean']
595,59C-R57,Doctor,,,,
596,59C-R59,1,CHI:        &=whispers:to_Zorg doctor.,L,,
597,59C-R60,2,CHI:        doctor [= as Zorg].,L,,
598,59C-R70,3,CHI:        &=whispers:to_Zorg it's a doctor and it helps people.,F+L,,
599,59C-R73,5,"CHI:        um um, yeah um, ah &=whispers:to_Zorg He's good xxx.",I,good,['good']
600,59C-R74,6,CHI:        he's good and not evil [= as Zorg].,I,"good, not evil","['good', 'evil']"
601,59C-R77,7,CHI:        &=whispers:to_Zorg they help you and they take care of you.,F,,
602,59C-R90,Painter,,,,
603,59C-R95,3,CHI:        &=whispers:to_Zorg it's a artists.,L,,
604,59C-R96,4,CHI:        it's a artist [= as Zorg].,L,,
605,59C-R99,5,"CHI:        um, it draws things [= as Zorg].",P,,
606,59C-R123,Baby,,,,
607,59C-R125,1,CHI:        &=whispers:to_Zorg baby xxx.,L,,
608,59C-R126,2,CHI:        it's a baby [= as Zorg].,L,,
609,59C-R127,3,"CHI:        and he and, and lays down and [= as Zorg] +...",P,,
610,59C-R133,4,CHI:        a baby.,L,,
611,59C-R136,6,CHI:        &=whispers:to_Zorg it's a baby.,L,,
612,59C-R137,7,CHI:        it's a baby [= as Zorg].,L,,
613,59C-R140,9,CHI:        cries and likes to sleep [= as Zorg].,F,,
614,59C-R143,10,CHI:        &=whispers:to_Zorg change diapers.,F+P,,
615,59C-R198,Baseball Player,,,,
616,59C-R200,1,CHI:        &=whispers:to_Zorg baseball player.,L,,[':']
617,59C-R201,2,"CHI:        baseball player, player.",L,,
618,59C-R204,4,"CHI:        um, it hits the ball then er drops the pin and then it runs into a shh that, like that [= as Zorg].",F,,
619,59C-R209,7,CHI:        the football pl- I mean uh [= as Zorg].,T,,
620,59C-R210,8,CHI:        &=whispers:to_Zorg baseball player.,L,,[':']
621,59C-R211,9,CHI:        it's a baseball player and it runs [= as Zorg].,F+L,,
622,67C-R46,Police Officer,,,,
623,67C-R52,4,CHI:        I don't know more.,I,,['more']
624,67C-R55,Surfer,,,,
625,67C-R57,1,CHI:        I don't know about skateboarding.,I+P,,
626,67C-R59,2,CHI:        skateboarding is for older kids.,P+F,,['older']
627,67C-R118,Farmer,,,,
628,67C-R126,1,CHI:        xxx.,,,
629,67C-R128,2,CHI:        a farmer.,L,,
630,67C-R130,3,CHI:        they haul food.,F,,
631,67C-R132,4,CHI:        they they put hay in barns too.,F,,
632,67C-R133,Weightlifter,,,,
633,67C-R135,1,CHI:        a wrestle guy.,L,,
634,67C-R137,2,CHI:        they wrestle.,F,,
635,67C-R139,3,CHI:        um that only they do.,F,,
636,67C-R141,4,CHI:        but that all they the wrestlers do.,L+F,,
637,67C-R142,5,CHI:        but they smas-hit guys.,F,,
638,67C-R143,6,CHI:        they fight.,F,,
639,67C-R145,7,CHI:        they're [?] kinda scary.,I,scary,['scary']
640,67C-R166,King,,,,
641,67C-R168,1,CHI:        a king.,L,,
642,67C-R170,2,"CHI:        kings have, live in castles.",L+F,,
643,67C-R171,3,CHI:        and kings have hats on.,L+P,,
644,07C-R10,ballerina,,,,
645,07C-R14,2,CHI:        that's a dancing.,L,,
646,07C-R17,3,"CHI:        maybe it's yellow and black and, and maybe it's pink, and right about it's, black ⌈ um⌉.",P,"yellow, black, pink, black","['yellow', 'black', 'pink', 'black']"
647,07C-R19,4,CHI:        and pink and red.,P,"pink, red","['pink', 'red']"
648,07C-R24,6,CHI:        red &=points:picture.,P,red,['red']
649,07C-R59,race car driver,,,,
650,07C-R93,firefighter,,,,
651,07C-R94,1,CHI:        a firefire.,L,,
652,07C-R95,2,"CHI:        it's black and green, and colors.",P,"black, green","['black', 'green']"
653,07C-R98,3,CHI:        it's have white.,P,white,
654,07C-R102,4,CHI:        zorg this is white and black and colors.,P,"white, black","['white', 'black']"
655,07C-R143,old woman,,,,
656,07C-R144,1,"CHI:        it's a blue, and green I mean, I mean what is this?",P,"blue, green",['green']
657,07C-R147,2,CHI:        I think this is blue and green and yellow and black and and grey and yellow blue.,P,"blue, green, grey, black, yellow, blue","['blue', 'green', 'yellow', 'black', 'grey', 'yellow']"
658,07C-R149,3,CHI:        it's walks.,F,,
659,07C-R153,4,CHI:        zorg this is blue and yellow and grey and red and green and black and red and yellow.,P,"blue, yellow, grey, green, black, red","['blue', 'yellow', 'grey', 'red', 'green', 'black', 'red', 'yellow']"
660,07C-R166,judge,,,,
661,07C-R168,1,CHI:        a black and a white.,P,"black, white",
662,07C-R170,2,CHI:        it it walks.,F,,
663,07C-R174,3,CHI:        zorg this is black and white.,P,"black, white","['black', 'white']"
664,08C-R59,firefighter,,,,
665,08C-R61,1,CHI:        a fireman.,L,,
666,08C-R63,2,CHI:        um he is wash- he's getting out the fire.,P,,
667,08C-R66,3,CHI:        uh-huh [= yes] he's just xxx that he's holding.,P,,
668,08C-R76,4,"CHI:        and, he has a point he has a thing.",P,,
669,08C-R80,ballerina,,,,
670,08C-R82,1,CHI:        a ballerina.,L,,
671,08C-R84,2,"CHI:        mm she, these things are called tutus &=points:tutu.",P,,
672,08C-R86,3,CHI:        it's a kind of a funny name.,I,,['funny']
673,08C-R88,4,"CHI:        and, toe shoes.",P,,
674,08C-R89,5,CHI:        another toe shoe.,P,,
675,08C-R90,6,"CHI:        and she has, yellow hair.",P,yellow,['yellow']
676,08C-R92,7,CHI:        black tights.,P,black,['black']
677,08C-R94,8,CHI:        I have a ballerina suit.,I+L,pink,
678,08C-R96,9,CHI:        but it's light pink.,I,,['light']
679,08C-R98,10,CHI:        &=laughs and I don't know.,I,,
680,08C-R133,judge,,,,
681,08C-R137,1,"CHI:        um it's a, man that's working in his office.",L,,
682,08C-R140,2,CHI:        um he has glasses but he's a little mad.,P+I,,"['little', 'mad']"
683,08C-R148,4,CHI:        and he has a book ⌈<I mean> [?]⌉.,P,,
684,08C-R152,6,CHI:        and he has a mean look.,I,mean,['mean']
685,08C-R196,old woman,,,,
686,08C-R198,1,CHI:        a ski girl.,L,,['ski']
687,08C-R200,2,CHI:        um she's holding a stick and she has glasses on and a necklace.,P,,
688,08C-R202,3,CHI:        three necklaces.,P,,
689,08C-R210,8,"CHI:        mm-hm [= yes], um and she has blue pants.",P,blue,['blue']
690,08C-R211,9,CHI:        and pink shirt.,P,pink,['pink']
691,08C-R212,10,"CHI:        and, very very light, shirt [?].",P,light,['light']
692,08C-R215,12,CHI:        that's all I know.,I,,
693,08C-R217,13,CHI:        and she has a bow.,P,,
694,08C-R219,race car driver,,,,
695,08C-R221,1,CHI:        um a guy on a race car at a race car is it at a race car.,L,,
696,08C-R223,2,CHI:        they're gonna race.,I+P,,
697,08C-R226,4,CHI:        um he has a dog print on his shirt.,P,,
698,08C-R227,5,"CHI:        and another, and he has glasses.",P,,
699,08C-R228,6,CHI:        a hat.,P,,
700,08C-R229,7,CHI:        white tan and black here.,P,"white, black",['white']
701,08C-R230,8,CHI:        and pink here.,P,pink,
702,08C-R233,10,CHI:        and purple on here.,P,purple,['purple']
703,08C-R236,11,"CHI:        mm-hm [= yes], and the cars have numbers on them.",P,,
704,08C-R238,12,CHI:        and there's everyone.,P,,
705,08C-R240,13,CHI:        there's a lot of.,P,,
706,10C-R1,baseball player,Speech,,,
707,10C-R8,3,"CHI:        um a, picture of someone playing baseball.",L,,
708,10C-R10,4,"CHI:        and um, um, this guy is getting ready to hit the ball.",P,,['ready']
709,10C-R12,5,CHI:        or try to hit the ⌊ball⌋.,P,,
710,10C-R16,7,"CHI:        hm, you need to like be a, maybe have a you don't really actually have to but some people have like a baseball hat.",I+F,,
711,10C-R18,8,CHI:        to wear.,F,,
712,10C-R82,painter,,,,
713,10C-R84,1,CHI:        a painter.,L,,
714,10C-R87,3,CHI:        she is painting.,P,,
715,10C-R88,4,"CHI:        um, right now she's painting a tree.",P,,
716,10C-R90,5,CHI:        she's painting on a easel.,P,,
717,10C-R92,6,CHI:        and a piece of paper.,P,,
718,10C-R94,7,"CHI:        and, she's painting with, paint.",P,,
719,10C-R115,baby,,,,
720,10C-R118,2,CHI:        is a picture of a baby laying in like a on a blanket or in its crib on a ⌊blanket⌋.,L+P,,
721,10C-R120,3,CHI:        with three um dolls.,P,,
722,10C-R122,4,"CHI:        and, babies like, to kick.",L+F,,
723,10C-R124,5,CHI:        um looks like this baby's getting ready to kick.,L+ P,,['ready']
724,10C-R173,doctor,,,,
725,10C-R175,1,CHI:        this is a picture of someone at the hospital or a doctor.,P+L,,
726,10C-R178,2,"CHI:        um, the I think she's at the doctor cause it looks like this is the a doctor.",P+L,,
727,10C-R180,3,CHI:        and the doctor is I think asking her some questions.,L+P,,
728,10C-R182,4,"CHI:        um, looks like right now she's talking.",P,,
729,10C-R183,5,"CHI:        um, and she's laying in a bed.",P,,
730,10C-R187,pirate,,,,
731,10C-R188,1,CHI:        this is a pirate.,L,,
732,10C-R190,2,"CHI:        um, they, only travel on ships.",F,,
733,10C-R192,3,"CHI:        and they wear, patches on only one eye.",P,,
734,10C-R195,5,CHI:        they wear a belt.,P,,
735,10C-R196,6,CHI:        they wear boots.,P,,
736,24C-R1,doctor,Speech,Which feature is questioned or emphasized,,
737,24C-R3,1,CHI:        a doctor.,L,,
738,24C-R5,2,CHI:        they help people who are sick or hurt.,F,,['sick']
739,24C-R9,4,"CHI:        zorg you don't, I don't know.",I,,
740,24C-R12,6,CHI:        a doctor helps people.,L+F,,
741,24C-R13,7,CHI:        I'm sick.,I,,['sick']
742,24C-R25,baseball player,,,,
743,24C-R27,1,CHI:        a baseball player.,L,,
744,24C-R29,2,CHI:        some have bats and some have gloves.,P,,
745,24C-R32,3,CHI:        when the ball comes to you ya hit it.,F,,
746,24C-R61,painter,,,,
747,24C-R63,1,CHI:        a painter.,L,,
748,24C-R65,2,CHI:        you paint it.,P,,
749,24C-R68,4,CHI:        and then you get some paint and then you paint it.,F+P,,
750,24C-R72,6,CHI:        first they get a paintbrush put it in paint and then paint pictures that you want to paint.,F+P,,
751,24C-R105,pirate,,,,
752,24C-R107,1,CHI:        oh a pirate.,L,,
753,24C-R108,2,CHI:        oh the pirate.,L,,
754,24C-R110,3,CHI:        he rides on a ship.,F,,
755,24C-R111,4,CHI:        he needs gold.,F,,
756,24C-R112,5,CHI:        and has a parrot.,P,,
757,24C-R117,baby,,,,
758,24C-R118,1,CHI:        baby.,L,,
759,24C-R120,2,CHI:        he cannot do anything but lay there and cry &=burps.,F+P,,
760,24C-R124,4,CHI:        zorg it's a baby.,L,,
761,24C-R125,5,CHI:        you don't eat it.,F,,
762,24C-R126,6,CHI:        it's a person.,T,,
763,24C-R127,7,CHI:        yuck people stinks.,T+I,,
764,47C-R16,firefighter,,,,
765,47C-R18,1,CHI:        a firetruck.,P,,
766,47C-R20,2,"CHI:        hm, they put out hoses.",P,,
767,47C-R22,3,"CHI:        and, I don't know what else.",I,,
768,47C-R43,5,"CHI:        hm, they're running to a, fire.",P,,
769,47C-R45,race car driver,,,,
770,47C-R47,1,CHI:        a racecar.,P,,
771,47C-R49,2,"CHI:        um, they race and race.",P,,
772,47C-R51,3,CHI:        fast.,P,,['fast']
773,47C-R53,3,"CHI:        and, steering helps them stay on the road.",F,,
774,47C-R145,old woman,,,,
775,47C-R146,1,"CHI:        hey, that's a cane right there.",P,,
776,47C-R149,2,CHI:        a wol-woman.,L,,
777,47C-R151,3,CHI:        I don't know much about people.,I,,['much']
778,47C-R153,4,"CHI:        but when they hurt, their foot they need a cane.",F+P,,
779,47C-R167,ballerina,,,,
780,47C-R168,1,CHI:        I know a lot about this.,I,,
781,47C-R171,2,CHI:        it's a dancer.,L,,
782,47C-R180,4,"CHI:        mm, and she dances around.",P,,
783,47C-R182,5,CHI:        so people can see her.,F,,
784,47C-R192,9,CHI:        a dancer.,L,,
785,47C-R197,10,"CHI:        and um, she spins and she, dances around where she's supposed to dance.",P,,
786,47C-R302,judge,,,,
787,47C-R304,1,CHI:        a director.,L,,
788,47C-R314,3,CHI:        it's a director.,L,,
789,58C-R45,race car driver,,,,
790,58C-R47,1,CHI:        a racecar.,P,,
791,58C-R80,judge,,,,
792,58C-R82,1,CHI:        um I don't know.,I,,
793,58C-R85,2,CHI:        a person who sits and does paperwork.,P,,
794,58C-R88,3,CHI:        he he likes papers and wears glasses.,I+P,,
795,58C-R89,4,CHI:        and he has a book that tells him things.,P,,
796,58C-R108,firefighter,,,,
797,58C-R110,1,CHI:        a fireman.,L,,
798,58C-R112,2,CHI:        he fights out fires.,P,,
799,58C-R114,3,CHI:        he doesn't know much about this one.,I,,['much']
800,58C-R115,4,"CHI:        he he has a hose that can, get out the fire.",P,,
801,58C-R116,5,"CHI:        and, and he has a big ladder so he can do from anywhere.",P,big,['big']
802,58C-R117,6,CHI:        so so so all they can be saved from the fire.,F+P,,
803,58C-R170,ballerina,,,,
804,58C-R172,1,CHI:        a [?] ballerina.,L,,
805,58C-R174,2,CHI:        ballerinas have tutus.,L+P,,
806,58C-R177,3,CHI:        um they spin on their ballerina shoe.,P,,
807,58C-R178,4,CHI:        and they have special tutus.,P,special,['special']
808,58C-R179,5,CHI:        and they have different kind of places.,F,different,['different']
809,58C-R181,6,CHI:        and sometimes xxx places.,F,,
810,58C-R212,old woman,,,,
811,58C-R214,1,CHI:        a old lady.,L,old,['old']
812,58C-R216,2,CHI:        old ladies have necklaces and they have canes so they can walk well outside.,L+P,old,['old']
813,58C-R217,3,CHI:        and they and they and they have special and they have grey hair.,P,"special, grey","['special', 'grey']"
814,58C-R218,4,CHI:        and they wear glasses around.,P,,
815,58C-R219,5,CHI:        and some don't.,P,,
816,58C-R222,6,"CHI:        old people, have, I don't know.",T+I,,['old']
817,30C-R44,football player,,,,
818,30C-R48,2,CHI:        a hockey player.,L,,
819,30C-R50,3,CHI:        I don't know anything else about it.,I,,
820,30C-R53,4,CHI:        it has legs.,P,,
821,30C-R55,5,CHI:        it has arms.,P,,
822,30C-R92,pilot,,,,
823,30C-R102,4,CHI:        I don't know anything else about it.,I,,
824,30C-R133,teacher,,,,
825,30C-R135,1,CHI:        a teacher.,L,,
826,30C-R137,2,CHI:        it helps kids teach.,F,,
827,30C-R141,3,CHI:        I don't know anything else.,I,,
828,30C-R143,4,CHI:        we bringed food here.,I,,
829,30C-R183,witch,,,,
830,30C-R185,1,CHI:        a witch.,L,,
831,30C-R187,2,CHI:        it's for Halloween.,F,,
832,30C-R189,3,CHI:        that's all I know.,I,,
833,30C-R195,clown,,,,
834,30C-R197,1,CHI:        a clown.,L,,
835,30C-R199,2,CHI:        it's dressed up of a people.,F,,
836,30C-R201,3,CHI:        I don't know anything else.,I,,
837,30C-R204,4,CHI:        it's pointing at his ears.,P,,
838,63C-R1,pilot,Speech,,,
839,63C-R3,1,CHI:        a police.,L,,
840,63C-R6,3,"CHI:        I don't know what that, what he is.",I,,
841,63C-R8,4,"CHI:        even, if it's a police.",L,,
842,63C-R11,5,CHI:        maybe it's a police officer.,L,,
843,63C-R14,6,CHI:        maybe he's flying in an airplane.,P,,
844,63C-R19,football player,,,,
845,63C-R21,1,CHI:        a football player.,L,,
846,63C-R23,2,CHI:        uh she's playing football.,P,,
847,63C-R25,3,CHI:        um she's she she has she she has the football in her hands.,P,,
848,63C-R99,clown,,,,
849,63C-R101,1,CHI:        a funny person.,I+T,funny,['funny']
850,63C-R111,7,CHI:        hm he he kind he kind of looks like a clown.,L,,
851,63C-R112,8,CHI:        that juggles.,F,,
852,63C-R114,9,CHI:        my dad can juggle with two apples.,I+F,,
853,63C-R117,10,CHI:        hm he- jugglers look kind of funny.,F+I,funny,['funny']
854,63C-R118,11,CHI:        and they juggle a lot.,F,,
855,63C-R176,teacher,,,,
856,63C-R178,1,CHI:        a teacher.,L,,
857,63C-R180,2,CHI:        um she's writing with some chalk.,P,,
858,63C-R185,4,"CHI:        uh she's wear-she's looking, she's holding a book.",P,,
859,63C-R187,witch,,,,
860,63C-R189,1,CHI:        a witch.,L,,
861,63C-R191,2,CHI:        uh there's a bat.,P,,
862,63C-R192,3,CHI:        and he's wearing a witch hat.,P+L,,
863,63C-R195,5,CHI:        and she and he's on a broom.,P,,
864,63C-R200,7,CHI:        uh there's a bat across from this.,P,,
865,63C-R201,8,CHI:        and you know who I'm gonna be for Halloween?,I+F,,
866,63C-R203,9,CHI:        it's something scary.,I,scary,['scary']
867,63C-R207,12,CHI:        it's gonna be really scary.,I,scary,['scary']
868,63C-R209,13,CHI:        Batman.,T,,
869,20C-R112,judge,,,,
870,20C-R114,1,CHI:        um it's a judger.,L,,
871,20C-R116,2,CHI:        um judgers have things and they go like this &=mimes:hammering_table.,L+F,,
872,20C-R120,4,CHI:        and he has glasses.,P,,
873,20C-R122,5,"CHI:        and he is the judger and, xxx &=yawns.",L,,
874,20C-R134,race car driver,,,,
875,20C-R138,2,CHI:        um I can't see him like this.,I,,
876,20C-R139,3,CHI:        because his body looks his clothes look purple.,P,purple,['purple']
877,20C-R144,5,CHI:        um they race in a race car.,F,,
878,20C-R182,old woman,,,,
879,20C-R183,1,CHI:        this is a grandma.,L,,
880,20C-R185,2,"CHI:        um, her has a bracelet in her hair and her pants look this looks brown and.",P,brown,['brown']
881,20C-R196,firefighter,,,,
882,20C-R197,1,CHI:        a firefighter.,L,,
883,20C-R199,2,CHI:        um he saves people from the fire.,F+P,,
884,20C-R200,3,"CHI:        and oh, and he and, he squirts out the water.",P,,
885,20C-R203,5,CHI:        they climb on ladders &=yawns.,F+P,,
886,20C-R204,6,CHI:        and they free people.,F,,
887,20C-R205,7,CHI:        I don't know.,I,,
888,20C-R210,1,CHI:        this is an ice cream cone.,L+P,,
889,20C-R221,ballerina,,,,
890,20C-R222,1,CHI:        this is a ballerina.,L,,
891,20C-R223,2,CHI:        this is a ballerina.,L,,
892,20C-R224,3,CHI:        I'm a start to be a ballerina.,I+L,,
893,20C-R226,4,"CHI:        um her, &=shrugs I don't know.",I,,
894,36C-R19,baseball player,,,,
895,36C-R21,1,CHI:        baseball man.,L,,
896,36C-R23,2,CHI:        um he plays baseball and he hits the ball and it goes back to someone else.,P+F,,['else']
897,36C-R26,4,CHI:        you gotta learn to play baseball.,I,,
898,36C-R32,5,"CHI:        well, you can need to learn to play baseball by yourself now because you're no nice.",I+F,,['nice']
899,36C-R68,doctor,,,,
900,36C-R76,4,CHI:        when I'm sick I gotta go to the doctor.,I+L,,['sick']
901,36C-R78,5,CHI:        once I got new [?] cavities.,I,,['new']
902,36C-R80,6,CHI:        they're pretty and they got good things in them to make teeth.,I+F,,"['pretty', 'good']"
903,36C-R85,8,CHI:        you need to learn to go to the doctor and be patient.,I+F+L,,['patient']
904,36C-R136,painter,,,,
905,36C-R138,1,CHI:        painting.,P,,
906,36C-R140,2,CHI:        well if she's painting really easy she can't get paint on her.,I+P,,
