,Participant ID,Referent,Speech,Feature,Adjectives,Adjectives_Spacy
93,34C-R45,2,CHI: I think that I know a [?] lot lot about the other things.,I,,['other']
94,34C-R50,4,CHI: um a basket um baseball man.,L,,
95,34C-R61,5,CHI: they play basketball a lot.,F,,
96,34C-R63,6,CHI: all the people came to watch them.,F,,
97,34C-R65,8,CHI: I think that's it I say about them.,I,,
98,34C-R119,Doctor,,,,
99,34C-R121,1,CHI: a doctor.,L,,
100,34C-R122,2,CHI: when I grow up I'm gonna be like that.,I,,
101,34C-R125,3,CHI: when people get sick they take care of (th)em.,F,,['sick']
102,34C-R127,4,CHI: um mm I think that's it to tell about them.,I,,
103,34C-R131,Painter,,,,
104,34C-R133,1,CHI: a painter.,L,,
105,34C-R135,2,CHI: they paint a lot.,F,,
106,34C-R138,3,"CHI: um, hm I think that's it tell about them.",I,,
107,34C-R147,Baby,,,,
108,34C-R149,1,CHI: a baby.,L,,
109,34C-R151,2,CHI: um babies could um.,L,,
110,34C-R152,3,CHI: I think there's nothing about babies.,I+L,,
111,34C-R159,5,CHI: babies um like to play with toys a lot.,F+L,,
112,34C-R181,Pirate,,,,
113,34C-R183,1,CHI: pirate man having a um a parrot.,L+P,,['pirate']
114,34C-R184,2,golden,P,,['golden']
115,34C-R185,3,CHI: and um I think that's it.,I,,
116,34C-R187,4,CHI: mm he has a parrot on <his head> [?].,P,,
117,34C-R188,5,CHI: kind of treasure.,P,,
118,34C-R189,6,CHI: coins.,P,,
119,34C-R190,7,CHI: treasure box.,P,,
120,34C-R191,8,CHI: a necklace I think.,P,,
121,38C-R1,Farmer (A),Speech,Which feature is questioned or emphasized,,
122,38C-R3,1,CHI:        farmer.,L,,
123,38C-R5,2,CHI:        they plant vegetables.,F,,
124,38C-R12,King,,,,
125,38C-R14,1,CHI:        king.,L,,
126,38C-R16,2,CHI:        I don't know anything about him.,I,,
127,38C-R70,Police Officer,,,,
128,38C-R72,1,CHI:        police.,L,,
129,38C-R74,2,CHI:        I don't know really anything about police.,I+L,,
130,38C-R77,3,"CHI:        mm, they lead the roads.",F,,
131,38C-R115,Weightlifter,,,,
132,38C-R117,1,"CHI:        uh, working out man.",L,working out,
133,38C-R121,2,CHI:        I can't think of anything else about this.,I,,
134,38C-R125,Surfer,,,,
135,38C-R127,1,CHI:        surfing.,L,,
136,38C-R129,2,CHI:        they <love this> [?].,P,,
137,38C-R130,3,CHI:        and you surf on the water.,F,,
138,45C-R25,Old Woman,,,,
139,45C-R27,1,CHI:        a lady.,L,,
140,45C-R29,2,"CHI:        look's like she's old (be)cause he has, (be)cause she has that &=points:cane.",P,old,['old']
141,45C-R34,3,CHI:        old.,P,,['old']
142,45C-R42,1,CHI:        a bird.,L,,
143,45C-R45,2,CHI:        it's on a pirate's shoulder.,P,,
144,45C-R50,4,CHI:        it flies and where pirates are.,F,,
145,45C-R54,Judge,,,,
146,45C-R55,1,CHI:        somebody in his office.,P,,
147,45C-R59,3,CHI:        that's why I know it's his office.,I,,
148,45C-R65,Ballerina,,,,
149,45C-R67,1,CHI:        I'm no- I'm never gonna be that.,I,,
150,45C-R70,2,"CHI:        besides, it's a ballerina.",L,,
151,45C-R71,3,CHI:        looks like one.,P,,
152,45C-R75,4,CHI:        dancing on her toes.,P,,
153,45C-R139,Firefighter,,,,
154,45C-R140,1,CHI:        fighterfighter.,L,,
155,45C-R154,2,CHI:        a fighterfighter.,L,,
156,45C-R156,3,CHI:        it sprays fires out.,P,,
157,45C-R159,4,"CHI:        saves cats, up in a tree.",F,,
158,45C-R208,Race Car Driver,,,,
159,45C-R210,1,CHI:        baseball.,L,,
160,45C-R211,2,CHI:        and a baseball player.,L,,
161,45C-R230,Judge,,,,
