Participant ID,Referent,Speech,Feature,Adjectives SpaCy,
29C-R1,5,CHI: and last time baby xxx [= animal name] s being funny (be)cause then her got her trunk like on on a pole and then hers like was kinda like hers like pulling the pole right off.,I+P+F,,
29C-R1,Penguin,,,,
29C-R1,1,CHI: a penguin.,L,,
29C-R1,2,CHI: last night um I went down in the penguin but it was really dark in there but that's where you can look in windows where the penguins were swimming [?] in the water.,I+L+F,,
45C-R35,4,CHI:        um +...,NA,,
29C-R1,3,"CHI: and then uh, and then uh, last night, um, I um, saw one and last night one almost flied right out of it.",I,,
45C-R47,3,CHI:        probably.,NA,,
29C-R1,4,CHI: they didn't know it was glass and banged his head.,I+F,,
34C-R1,Duck,,,,
45C-R57,2,CHI:        he has a computer.,AE(P),,
45C-R62,4,"CHI:        hm, he has a chair.",AE(P),,
45C-R63,5,"CHI:        (be)cause I see a chair peaking out,   [over his shoulder].",AE(P),,
34C-R1,1,CHI: a duck.,L,,
34C-R1,2,"CHI: um, um, a duck is likes to swim in the water.",L+F,,
34C-R1,4,CHI: when [?] they get up they xxx kinda.,F,,
34C-R1,5,CHI: all kinda bird can fly.,T+F,,
34C-R1,6,CHI: ducks can fly.,F,,
34C-R1,Pig,,,,
45C-R213,3,"CHI:        I don't, the nine, and that +...",AE(P),,
45C-R214,4,CHI:        there's a nine and a one on it.,AE(P),,
45C-R216,5,CHI:        so what's that?,NA,,
45C-R219,6,CHI:        ninety-one.,AE(P),,
45C-R223,7,CHI:        it's a racecar.,AE(L),,
45C-R225,8,CHI:        and the car races.,AE(F),,
34C-R1,2,CHI: a pig.,L,,
34C-R1,3,CHI: I know lots about this.,I,,
34C-R1,4,CHI: um pigs used to live in mud on a farm.,L+F,,
34C-R1,5,CHI: and um they they they say oink.,P,,
34C-R1,7,CHI: they have four legs.,P,four,
34C-R1,8,CHI: and I think that's all I have [?] to tell about them.,I,,
34C-R1,Puppy,,,,
34C-R1,1,CHI: a dog.,L,,
34C-R1,2,CHI: dog likes to play with bones.,L+F,,
34C-R1,3,CHI: they like to eat bone &=sighs.,F,,
34C-R1,4,"CHI: I think that's it, all I can tell about them.",I,,
34C-R1,Turtle,,,,
34C-R1,1,CHI: a turtle.,L,,
55C-R21,3,CHI:        no [= quietly].,NA,,
34C-R1,2,CHI: has four legs.,F,,
34C-R1,3,CHI: you can't even see this one.,P,four,
34C-R1,4,CHI: and it's here.,P,,
55C-R77,3,"CHI:        not, really.",NA,,
34C-R1,5,CHI: this is his shell [= indicating on page].,P,,
55C-R92,2,CHI:        um they +...,NA,,
34C-R1,6,CHI: and that's it.,I,,
55C-R94,4,CHI:        I don't [?] have anything.,NA,,
34C-R1,7,CHI: mm his tail has sharp xxx.,P,sharp,
34C-R1,8,CHI: and I think &=turns:page.,NA,,
34C-R1,Ladybug,,,,
34C-R1,1,CHI: ladybug.,L,,
55C-R132,2,CHI:        I'm not sure if I have anything.,NA,,
55C-R133,3,CHI:        so +...,NA,,
34C-R1,2,CHI: they have big black spots.,P,"big
black",
55C-R138,5,CHI:        I don't think I have anything.,NA,,
34C-R1,3,CHI: four legs.,P,four,
34C-R1,4,CHI: um um this red stuff.,P,red,
34C-R1,5,CHI: they could fly.,F,A,
34C-R1,6,CHI: and um this black white and black and all that stuff.,P,"white
black",
34C-R1,7,CHI: and I think that's it &=turns:page.,I,A,
61C-R90,7,CHI:        go ah.,NA,,
34C-R1,8,CHI: mm I think that's it I could tell.,NA,,
34C-R1,9,CHI: I think that's it that's in my mind.,NA,,
61C-R98,12,CHI:        and I have Tonka Joe and Tonka Town.,NA,,
61C-R99,13,CHI:        Tonka Town is just Tonka Tonka trucks and Tonka buildings.,NA,,
61C-R100,14,CHI:        but Tonka Joe is different (be)cause it's all just the real thing.,NA,,
61C-R101,15,CHI:        it's Tonka Joe who can talk.,NA,,
61C-R102,16,CHI:        and it's plain buildings that don't talk.,NA,,
61C-R103,17,CHI:        and <vehicles> [?] that don't talk.,NA,,
61C-R109,20,CHI:        like xxx.,NA,,
61C-R113,23,CHI:        (be)cause then xxx.,NA,,
61C-R117,26,CHI:        firstname who's in my school still once brought us a book about that.,NA,,
61C-R118,27,CHI:        and and he said that that divers trying to shoot the shark.,NA,,
61C-R120,28,CHI:        and then I came over and I heard that and looked at the shooter.,NA,,
61C-R122,29,CHI:        and looked +...,NA,,
61C-R123,30,CHI:        and and Darth Vader's army who's really Anakin have blasters like,NA,,
61C-R126,31,CHI:        then they pull this back and &=makes:shooting_noises.,NA,,
61C-R127,32,CHI:        and guess what.,NA,,
61C-R129,33,"CHI:        so Han Solo and and Luke who was who was the one who was going to,",NA,,
61C-R132,34,CHI:        and he blew up the bu- the Darth Sidious in the in the Death Star.,NA,,
61C-R134,35,CHI:        and +...,NA,,
08C-R1,Cat,,,,
08C-R1,1,CHI:        a kitty.,L,,label
61C-R141,4,CHI:        and a pumpkin.,AE(L),,
61C-R144,5,"CHI:        hm and that's a, a half fence and that's half house and that's a farm.",AE(L),,
61C-R146,6,CHI:        and that's grass.,AE(L),,
08C-R1,2,CHI:        it has stripes.,P,,stripe
61C-R226,3,CHI:        and guess what.,NA,,
61C-R228,4,CHI:        I have a new Dora called Dora Dance to the [Rescue].,NA,,
61C-R230,5,CHI:        to rescue Swiper from in the bottles so when he so when Swiper the fox got dancing elves out of the magic bottle Swiper went in.,NA,,
08C-R1,3,CHI:        and it has a stripe- it has stripes on the foot.,P,,spatial relation
08C-R1,4,"CHI:        it has, one two three four legs.",P,,quantity
08C-R1,5,"CHI:        and, yeah.",NA,,
08C-R1,skunk,,,,
61C-R241,12,CHI:        and then Harry Potter +...,NA,,
61C-R242,13,CHI:        harry Potter's a wizard but guess what.,NA,,
61C-R244,14,CHI:        harry Potter has to live with the Dursy- [Dursley's].,NA,,
61C-R245,15,CHI:        because guess what.,NA,,
61C-R247,16,CHI:        voldemort killed Harry Potter's parents.,NA,,
61C-R249,17,CHI:        and now we didn't find the <wand> [?] when they killed his [parents].,NA,,
61C-R250,18,CHI:        we have to look at watch all of them to see how he killed his parents.,NA,,
61C-R252,19,CHI:        that's how we can find it.,NA,,
08C-R1,2,"CHI:        um, I have a beanie baby skunk.",I+T,,experience+subordinate
08C-R1,3,CHI:        <a beanie baby one> [?].,NA,,
08C-R1,4,CHI:        what?,NA,,
61C-R392,2,CHI:        and I think the +...,NA,,
08C-R1,6,CHI:        it has white stuff.,P,white,color
08C-R1,7,"CHI:        and, it has pointy <stuff on it> [?].",P,pointy,pointy+spatial relation
08C-R1,8,CHI:        and it stinks.,P,,stink
61C-R401,7,CHI:        (o)kay like that.,NA,,
08C-R1,9,CHI:        and it's all black.,P,black,
08C-R1,10,CHI:        a little is white.,P,white little,
08C-R1,parrot,,,,
08C-R1,1,CHI:        a parrot.,L,,label
08C-R1,2,CHI:        um it has a bunch of blue and green.,P,blue green,color
08C-R1,3,CHI:        green here and green here.,P,green,
08C-R1,4,CHI:        yellow and yellow.,P,yellow,color
08C-R1,5,CHI:        and it's um he's standing on something.,P,,entity behavior+spatial relation
08C-R1,7,CHI:        and it has ears [?].,P,,sysetmic property
08C-R1,8,CHI:        bunch of xxx.,NA,,
08C-R1,dolphin,,,,
08C-R1,1,CHI:        next one what is I know this one.,I,,
08C-R1,2,CHI:        um a a dolphin or a whale.,T+L,,coordinate+label
08C-R1,3,CHI:        um it has a bunch of black and white on the bottom.,P,black white,color+spatial relation1
08C-R1,4,CHI:        I guess it's a whale.,L,,
08C-R1,5,"CHI:        and it's swimming in, a lake.",P,,swim+spatial relation2
08C-R1,6,CHI:        that has a bunch of ⌊water⌋.,AE(P),,water
3C-R290,6,CHI:        ⌈but⌉ +...,NA,,
3C-R294,8,CHI:        oh ah no that's not all I know actually!,NA,,
3C-R295,9,CHI:        this is what I know.,NA,,
08C-R1,7,CHI:        I'm finished.,NA,,
08C-R1,Butterfly,,,,
08C-R1,2,CHI:        it has dots on here and orange ⌈on it⌉.,P,orange,spatial relation+color
08C-R1,3,CHI:        a bunch of orange.,P,orange,quantity-color
44C-R1,Alligator,,,,
44C-R1,1,CHI:        a alligator.,,,
3C-R312,19,CHI:        but that's all I know about clowns.,NA,,
44C-R1,2,CHI:        alligator is bad.,,bad,
44C-R1,3,CHI:        what else can you tell me?,,,
44C-R1,4,CHI:        alligator have sharp claw.,,sharp,
4C-R115,2,CHI:        can ⌊you⌋ +...,NA,,
44C-R1,Horse,,,,
4C-R119,4,CHI:        why can't you tell me some?,NA,,
4C-R121,5,CHI:        and I want to hear what you too.,NA,,
4C-R123,6,CHI:        I think you first.,NA,,
44C-R1,1,CHI:        a horsie.,,,
4C-R130,9,CHI:        I don't know either.,NA,,
44C-R1,2,CHI:        horsie giddy-up.,,,
4C-R140,3,CHI:        but you tell me now.,NA,,
4C-R145,4,"CHI:        I don't know what the, I don't know what to tell you.",NA,,
4C-R148,5,CHI:        um.,NA,,
4C-R152,6,CHI:        &=shrugs I don't.,NA,,
44C-R1,3,CHI:        horsie's have tails.,,,
44C-R1,Elephant,,,,
4C-R212,4,CHI:        I think it's your turn now.,NA,,
4C-R214,5,CHI:        &=nods ⌈mm-hm [= yes]⌉.,NA,,
4C-R218,6,CHI:        well it's after my ⌊turn⌋.,NA,,
4C-R219,7,CHI:        well it's after my turn.,NA,,
44C-R1,1,CHI:        a elephant.,,,
44C-R1,2,CHI:        elephant has a long trunk.,,long,
44C-R1,3,CHI:        it has a neck.,,,
4C-R292,5,CHI:        and this.,NA,,
44C-R1,4,CHI:        the elephant is big.,,big,
4C-R294,7,CHI:        and it ha- supposed to be here.,NA,,
4C-R295,8,CHI:        and this supposed to be +...,NA,,
44C-R1,Lobster,,,,
4C-R298,10,CHI:        no you tell me.,NA,,
4C-R300,11,CHI:        I want you to tell me.,NA,,
4C-R303,12,CHI:        can you please tell me?,NA,,
44C-R1,1,CHI:        a crab.,,,
44C-R1,2,CHI:        the crab has claw.,,,
5C-R23,2,CHI:        xxx.,NA,,
5C-R24,3,CHI:        <what that thing at right there> [?].,NA,,
5C-R26,4,CHI:        <what that thing at right there> [?].,NA,,
5C-R73,3,"CHI:        well I don't know much about that, either.",NA,,
5C-R87,4,CHI:        xxx.,NA,,
44C-R1,6,CHI:        I don't know what else.,,,
6C-R3,1,CHI: what's this about?,NA,,
6C-R5,2,CHI: a person and a cane.,L+AE(L),,
